,Country,Model,Price,Km,Year,Power_Hd,Fuel,Gearbox,CO2,Consumption
47,FR,MINI Cooper,26490.0,19061 ,2018,- hp,Gasoline,Manual,- (,- (
48,FR,MINI Cooper SE,26990.0,52858 ,2020,- hp,Electric,Automatic,0 ,- (
49,FR,MINI Cooper,27490.0,15700 ,2020,137 hp,Gasoline,- (Gearing Type),135 ,- (
50,FR,MINI Cooper S,27900.0,9900 ,2020,192 hp,Gasoline,Automatic,120 ,5.3 
51,FR,MINI Cooper SE,27990.0,21220 ,2020,- hp,Electric,Automatic,0 ,- (
52,FR,MINI Cooper S,27990.0,25653 ,2019,- hp,Gasoline,Automatic,- (,- (
53,FR,MINI Cooper S,29990.0,30955 ,2018,- hp,Gasoline,Automatic,- (,- (
54,FR,MINI John Cooper Works,29990.0,52242 ,2017,- hp,Gasoline,Automatic,154 ,- (
55,FR,MINI Cooper SE,29990.0,13400 ,2021,- hp,Electric,Automatic,0 ,- (
56,FR,MINI John Cooper Works,31499.0,47450 ,2018,234 hp,Gasoline,Automatic,130 ,- (
57,FR,MINI John Cooper Works,31990.0,60096 ,2019,- hp,Gasoline,Automatic,- (,- (
58,FR,MINI Cooper,32990.0,6942 ,2021,- hp,Gasoline,Automatic,- (,- (
59,FR,MINI Cooper,32990.0,10284 ,2021,- hp,Gasoline,Automatic,- (,- (
60,FR,MINI Cooper SE,33500.0,4000 ,2022,- hp,Electric,Automatic,0 ,- (
61,FR,MINI Cooper,33785.0,9800 ,2021,- hp,Gasoline,Automatic,- (,- (
62,FR,MINI Cooper,34890.0,30271 ,2020,- hp,Diesel,Automatic,- (,- (
63,FR,MINI Cooper SE,35890.0,9300 ,2021,- hp,Electric,Automatic,0 ,- (
64,FR,MINI Cooper,35900.0,1 ,2022,- hp,Gasoline,Automatic,- (,- (
65,FR,MINI Cooper SE,35925.0,10 ,2022,- hp,Electric,Automatic,0 ,- (
66,FR,MINI John Cooper Works,35990.0,19880 ,2021,- hp,Gasoline,Automatic,- (,- (
67,FR,MINI One D,35990.0,7500 ,2021,- hp,Diesel,Automatic,- (,- (
68,FR,MINI John Cooper Works,38499.0,15242 ,2020,234 hp,Gasoline,Automatic,137 ,- (
69,FR,MINI John Cooper Works,39340.0,9800 ,2021,- hp,Gasoline,Automatic,- (,- (
70,FR,MINI Cooper SE,39745.0,8000 ,2021,- hp,Electric,Automatic,0 ,- (
71,FR,MINI John Cooper Works,51999.0,27505 ,2020,310 hp,Gasoline,Automatic,184 ,- (
72,FR,MINI One,6990.0,138053 ,2009,97 hp,Gasoline,Manual,128 ,- (
73,FR,MINI Cooper SD,9990.0,175000 ,2012,145 hp,Diesel,Automatic,160 ,- (
74,FR,MINI One,17490.0,11384 ,2018,103 hp,Gasoline,Manual,111 ,- (
75,FR,MINI John Cooper Works,26990.0,51530 ,2017,234 hp,Gasoline,Automatic,133 ,- (
76,,,,,,178 hp,,,,
77,FR,MINI Cooper S,3990.0,185000 ,2008,- hp,Gasoline,Manual,149 ,- (
78,,,,,,- hp,,,,
