,Country,Model,Price,Km,Year,Power_Hd,Fuel,Gearbox,CO2,Consumption
291,,,,,,102 hp,,,,
292,IT,MINI Cooper D,12000.0,79600 ,2014,143 hp,Diesel,- (Gearing Type),- (,- (
293,IT,MINI Cooper SD Countryman,12200.0,133000 ,2011,95 hp,Diesel,Automatic,130 ,4.9 
294,IT,MINI Cooper D Countryman,12500.0,71000 ,2013,184 hp,Diesel,- (Gearing Type),- (,- (
295,IT,MINI One,12500.0,72000 ,2015,122 hp,Gasoline,Manual,108 ,4.6 
296,IT,MINI Cooper SD Countryman,12800.0,102000 ,2013,111 hp,Diesel,Manual,- (,4.9 
297,IT,MINI One,12890.0,138000 ,2015,122 hp,Diesel,Manual,92 ,3.5 
298,IT,MINI Cooper S,12900.0,15000 ,2013,102 hp,Gasoline,Manual,136 ,5.8 
299,IT,MINI Cooper Countryman,12900.0,144000 ,2012,111 hp,Gasoline,Manual,140 ,6 
300,IT,MINI Cooper D Countryman,12900.0,57000 ,2014,143 hp,Diesel,Manual,115 ,4.4 
301,IT,MINI Cooper Countryman,12990.0,97841 ,2014,143 hp,Diesel,Manual,137 ,5.9 
302,IT,MINI,13400.0,123750 ,2015,150 hp,Gasoline,Semi-automatic,112 ,4.8 
303,IT,MINI Cooper D,13490.0,70000 ,2013,184 hp,Diesel,Manual,99 ,3.8 
304,IT,MINI Cooper SD Cabrio,13490.0,64000 ,2011,102 hp,Diesel,Automatic,118 ,4.5 
305,IT,MINI Cooper SD Paceman,13500.0,147000 ,2014,111 hp,Diesel,Manual,130 ,4.9 
306,IT,MINI Cooper D Clubman,13500.0,280000 ,2016,95 hp,Diesel,Automatic,109 ,4.1 
307,IT,MINI Cooper S Countryman,13500.0,95000 ,2013,111 hp,Gasoline,Manual,157 ,6.7 
308,IT,MINI One Clubman,13700.0,133554 ,2016,143 hp,Gasoline,Manual,119 ,5.1 
309,IT,MINI Cooper D Countryman,13800.0,103000 ,2015,102 hp,Diesel,Manual,123 ,4.7 
310,IT,MINI One,13800.0,137926 ,2016,116 hp,Diesel,Manual,128 ,5.3 
311,IT,MINI Cooper D Countryman,13800.0,102258 ,2013,122 hp,Diesel,Automatic,158 ,6 
312,IT,MINI Cooper SD Paceman,13800.0,105000 ,2013,116 hp,Diesel,Manual,130 ,4.9 
313,IT,MINI One,13900.0,72640 ,2015,95 hp,Gasoline,Manual,112 ,4.8 
314,IT,MINI Cooper D,13900.0,51849 ,2015,111 hp,Diesel,Manual,95 ,3.6 
315,IT,MINI Cooper Countryman,13900.0,88028 ,2013,116 hp,Gasoline,Manual,140 ,6 
316,IT,MINI,13900.0,115493 ,2015,75 hp,Diesel,Automatic,99 ,3.8 
317,IT,MINI One,13900.0,94190 ,2015,170 hp,Diesel,Manual,92 ,3.5 
318,IT,MINI Cooper D Cabrio,13900.0,68984 ,2014,211 hp,Diesel,Manual,105 ,4 
319,IT,MINI Cooper D,13900.0,108000 ,2014,75 hp,Diesel,Manual,92 ,3.5 
320,IT,MINI One,13990.0,61300 ,2017,122 hp,Gasoline,Manual,121 ,5.2 
321,IT,MINI Cooper SD,14250.0,163000 ,2015,143 hp,Diesel,Manual,109 ,4.1 
322,IT,MINI John Cooper Works,14400.0,80000 ,2011,90 hp,Gasoline,Manual,165 ,7.1 
323,IT,MINI One,14500.0,73600 ,2016,111 hp,Gasoline,Manual,118 ,5.1 
324,IT,MINI Cooper Countryman,14600.0,128000 ,2016,190 hp,LPG,Automatic,137 ,5.9 
325,IT,MINI Cooper SD Countryman,14600.0,75600 ,2013,111 hp,Diesel,Automatic,130 ,4.9 
326,,,,,,143 hp,,,,
327,IT,MINI One D Countryman,14990.0,125535 ,2016,111 hp,Diesel,Manual,111 ,4.2 
328,,,,,,170 hp,,,,
329,IT,MINI Cooper D Countryman,15800.0,58697 ,2016,98 hp,Diesel,Manual,- (,- (
330,IT,MINI Cooper S Paceman,15890.0,98875 ,2015,116 hp,Gasoline,Manual,139 ,6 
331,IT,MINI Cooper D Countryman,15900.0,49736 ,2016,102 hp,Diesel,Manual,123 ,4.7 
332,IT,MINI Cooper SD Countryman,15900.0,81215 ,2013,102 hp,Diesel,Manual,122 ,4.6 
333,IT,MINI Cooper D Paceman,15900.0,48400 ,2014,116 hp,Diesel,Manual,129 ,- (
334,IT,MINI Cooper SD,15900.0,116278 ,2016,111 hp,Diesel,Manual,106 ,4 
335,IT,MINI One Countryman,15900.0,35070 ,2015,111 hp,Gasoline,Manual,139 ,6 
336,IT,MINI Cooper D,15900.0,90000 ,2017,116 hp,Diesel,Manual,103 ,3.9 
337,IT,MINI One Clubman,15990.0,45296 ,2017,150 hp,Gasoline,Manual,119 ,5.1 
338,IT,MINI One,15990.0,40214 ,2019,102 hp,Gasoline,Manual,112 ,4.9 
339,IT,MINI Cooper D,16200.0,93746 ,2017,95 hp,Diesel,Manual,98 ,3.7 
340,IT,MINI Cooper D Countryman,16499.0,75663 ,2016,111 hp,Diesel,Manual,123 ,4.7 
341,IT,MINI Cooper D Countryman,16500.0,87778 ,2016,111 hp,Diesel,Manual,115 ,4.4 
342,IT,MINI Cooper D,16500.0,49350 ,2014,211 hp,Diesel,Manual,95 ,3.6 
343,IT,MINI Cooper D Clubman,16500.0,67800 ,2016,116 hp,Diesel,Manual,109 ,4.1 
344,IT,MINI Cooper,16500.0,33233 ,2018,150 hp,Gasoline,Manual,115 ,- (
345,IT,MINI One D,16500.0,63678 ,2017,116 hp,Diesel,Manual,89 ,3.4 
